Coluna;CNAE 2.0 Grupo;Sexo Trabalhador
CBO 2002 Família;Atividades dos serviços de tecnologia da informação;Atividades dos serviços de tecnologia da informação;Tratamento de dados, hospedagem na internet e outras atividades relacionadas;Tratamento de dados, hospedagem na internet e outras atividades relacionadas
;Masculino;Feminino;Masculino;Feminino
DIRETORES DE SERVICOS DE INFORMATICA;14119591,78;1925808,44000005;1341897,35999993;400845,889999956
GERENTES DE TECNOLOGIA DA INFORMACAO;126749394,339999;34250385,3100001;12074624,7;2696317,74000009
ENGENHEIROS EM COMPUTACAO;38126913,2700005;4588985,31999998;7541340,30999964;953891,809999876
ESPECIALISTAS EM INFORMATICA;48500293,0599998;8395918,66000002;6582728,32999997;630752,989999989
ANALISTAS DE SISTEMAS COMPUTACIONAIS;613732276,110001;146834836,98;66131278,4299999;15641804,8899999
TECNICOS EM PROGRAMACAO;150984907,25;22270888,89;9268820,17;1150304,96000003
TECNICOS EM OPERACAO E MONITORACAO DE COMPUTADORES;49179218,2999996;14888919,2;9696404,44000017;2810834,92000002

Seleções vigentes
Variável;Critério;Valor
Ano;igual a;2019
Vínculo Ativo 31/12;igual a;Sim
CNAE 2.0 Grupo;igual a;Atividades dos serviços de tecnologia da informação
;;Tratamento de dados, hospedagem na internet e outras atividades relacionadas
CBO 2002 Família;igual a;DIRETORES DE SERVICOS DE INFORMATICA
;;GERENTES DE TECNOLOGIA DA INFORMACAO
;;ENGENHEIROS EM COMPUTACAO
;;ANALISTAS DE SISTEMAS COMPUTACIONAIS
;;TECNICOS EM PROGRAMACAO
;;TECNICOS EM OPERACAO E MONITORACAO DE COMPUTADORES
;;ESPECIALISTAS EM INFORMATICA
