CBO; 620_M;620_F;631_M;631_F
1236;592;98;64;11
1425;11161;3439;965;276
2122;3577;515;424;53
2123;6106;1180;900;120
2124;101794;27661;9924;2742
3171;33224;5060;2307;305
3172;18735;6044;3263;1088
