CBO;620_M;620_F;631_M;631_F
1236;14119591.78;1925808.44000005;1341897.35999993;400845.889999956
1425;126749394.339999;34250385.3100001;12074624.7;2696317.74000009
2122;38126913.2700005;4588985.31999998;7541340.30999964;953891.809999876
2123;48500293.0599998;8395918.66000002;6582728.32999997;630752.989999989
2124;613732276.110001;146834836.98;66131278.4299999;15641804.8899999
3171;150984907.25;22270888.89;9268820.17;1150304.96000003
3172;49179218.2999996;14888919.2;9696404.44000017;2810834.92000002
